products-list__link href,exclusive-new,brand,price,original_price,discount_percent,rating,discounted_price,original_price.1,discount_percent.1,offer_price,material_type,delivery_time_estimate,product_category,delivery_speed_category
https://www.example.com/product/1455,Bestseller,DenimCraft,₹3341,₹5356,37%,3.2,3235,5356,37%,3293,Polyester,1-2 weeks,Ethnicwear,Fast
https://www.example.com/product/1045,BESTSELLER,NeoThreads,₹3579,₹5381,33%,3.3,3519,5381,33%,3497,Silk,2-3 days,T-Shirts,Fast
https://www.example.com/product/1203,TRENDING,TruStep,₹4675,₹6683,30%,2.9,4601,6683,30%,4625,Denim,2-3 days,Sportswear,Slow
https://www.example.com/product/1147,NEW,ZyraWear,₹1110,₹3301,66%,3.1,1053,3301,66%,1061,Leather,2-3 days,Handbags,Fast
https://www.example.com/product/1209,BESTSELLER,VogueLift,₹434,₹1687,74%,2.4,364,1687,74%,359,Leather,5-7 days,Handbags,Fast
https://www.example.com/product/1396,Limited Edition,TruStep,₹3338,₹3573,6%,4.2,3164,3573,6%,3267,Synthetic,2-3 days,Shirts,Moderate
https://www.example.com/product/1127,Limited Edition,Luxora,₹4572,₹5055,9%,4.3,4398,5055,9%,4505,Linen,4-5 days,Dresses,Fast
https://www.example.com/product/1027,TRENDING,NeoThreads,₹2647,₹5501,51%,1.2,2596,5501,51%,2589,Nylon,2-3 days,Footwear,Slow
https://www.example.com/product/1294,NEW,NeoThreads,₹1928,₹3267,40%,1.6,1779,3267,40%,1847,Linen,1-2 weeks,Jackets,Slow
https://www.ajio.com/tior-girls-floral-a-line-dress/p/701819644_white?,Bestseller,Tior,₹460,₹1999,77%,1.8,2154,2659,79% Off,3187,Synthetic,2-3 days,Footwear,Moderate
https://www.example.com/product/1076,TRENDING,AeroStyle,₹3552,₹4941,28%,4.6,3374,4941,28%,3481,Leather,4-5 days,Jackets,Moderate
https://www.example.com/product/1233,TRENDING,ZyraWear,₹4267,₹5075,15%,3.3,4134,5075,15%,4242,Cotton,1-2 weeks,Jackets,Slow
https://www.example.com/product/1323,NEW,UrbanEdge,₹611,₹2949,79%,3.0,474,2949,79%,533,Nylon,5-7 days,Jeans,Moderate
https://www.example.com/product/1164,Limited Edition,TruStep,₹385,₹841,54%,4.5,200,841,54%,336,Denim,5-7 days,Dresses,Moderate
https://www.example.com/product/1073,TRENDING,Luxora,₹305,₹808,62%,2.0,140,808,62%,261,Synthetic,5-7 days,Handbags,Slow
https://www.example.com/product/1378,BESTSELLER,NeoThreads,₹3563,₹6360,43%,3.3,3434,6360,43%,3486,Silk,5-7 days,Jeans,Fast
https://www.example.com/product/1424,Bestseller,Luxora,₹671,₹1902,64%,4.8,602,1902,64%,650,Polyester,5-7 days,Jeans,Fast
https://www.example.com/product/1002,NEW,TruStep,₹1400,₹1975,29%,4.2,1204,1975,29%,1375,Polyester,1-2 weeks,Jackets,Moderate
https://www.example.com/product/1109,NEW,VogueLift,₹1969,₹2574,23%,4.1,1860,2574,23%,1927,Cotton,5-7 days,Ethnicwear,Fast
https://www.example.com/product/1459,BESTSELLER,AeroStyle,₹2301,₹3786,39%,4.3,2196,3786,39%,2230,Synthetic,2-3 days,Jackets,Slow
https://www.example.com/product/1238,TRENDING,NeoThreads,₹2801,₹4527,38%,3.0,2719,4527,38%,2711,Silk,5-7 days,T-Shirts,Slow
https://www.example.com/product/1261,NEW,DenimCraft,₹1946,₹4363,55%,1.7,1828,4363,55%,1920,Silk,2-3 days,Ethnicwear,Moderate
https://www.example.com/product/1463,Limited Edition,Flexura,₹1619,₹1994,18%,1.3,1541,1994,18%,1526,Leather,4-5 days,T-Shirts,Slow
https://www.example.com/product/1044,NEW,Flexura,₹3699,₹6382,42%,2.4,3602,6382,42%,3662,Linen,1-2 weeks,Jackets,Moderate
https://www.example.com/product/1035,TRENDING,AeroStyle,₹2371,₹3228,26%,2.3,2292,3228,26%,2308,Leather,1-2 weeks,Accessories,Moderate
https://www.example.com/product/1065,NEW,UrbanEdge,₹3031,₹4202,27%,4.0,2973,4202,27%,2941,Linen,4-5 days,Shirts,Fast
https://www.example.com/product/1341,TRENDING,NeoThreads,₹4755,₹6627,28%,2.3,4595,6627,28%,4677,Cotton,4-5 days,Dresses,Fast
https://www.example.com/product/1452,Bestseller,StrideMax,₹4074,₹6882,40%,1.0,3892,6882,40%,4030,Nylon,5-7 days,Accessories,Fast
https://www.example.com/product/1049,BESTSELLER,DenimCraft,₹4690,₹6375,26%,2.4,4608,6375,26%,4624,Denim,2-3 days,Sportswear,Slow
https://www.example.com/product/1040,NEW,Flexura,₹4568,₹5927,22%,1.7,4467,5927,22%,4501,Polyester,2-3 days,Ethnicwear,Slow
https://www.example.com/product/1412,Limited Edition,NeoThreads,₹3421,₹4843,29%,2.7,3287,4843,29%,3359,Silk,4-5 days,Jeans,Slow
https://www.example.com/product/1048,Bestseller,Flexura,₹2790,₹4102,31%,1.3,2598,4102,31%,2753,Polyester,2-3 days,T-Shirts,Slow
https://www.example.com/product/1112,BESTSELLER,DenimCraft,₹1556,₹2859,45%,3.1,1495,2859,45%,1523,Polyester,1-2 weeks,Jeans,Moderate
https://www.ajio.com/red-tape-men-casual-shoes-with-pu-upper/p/701397158_green?,BESTSELLER,RED TAPE,₹1190,₹6999,83%,3.2,3381,2528,40% Off,1270,Synthetic,2-3 days,Footwear,Fast
https://www.example.com/product/1304,NEW,TruStep,₹4263,₹5684,25%,1.8,4142,5684,25%,4183,Synthetic,1-2 weeks,Accessories,Moderate
https://www.example.com/product/1051,BESTSELLER,Luxora,₹2208,₹2706,18%,5.0,2037,2706,18%,2180,Silk,4-5 days,Jackets,Slow
https://www.example.com/product/1181,TRENDING,VogueLift,₹352,₹981,64%,2.2,258,981,64%,289,Linen,1-2 weeks,Ethnicwear,Slow
https://www.example.com/product/1154,BESTSELLER,TruStep,₹2229,₹4978,55%,4.6,2088,4978,55%,2209,Silk,5-7 days,Dresses,Slow
https://www.example.com/product/1408,Bestseller,ZyraWear,₹4057,₹4954,18%,3.5,3961,4954,18%,4007,Polyester,4-5 days,Sportswear,Slow
https://www.example.com/product/1259,Limited Edition,NeoThreads,₹4720,₹7457,36%,3.8,4625,7457,36%,4699,Polyester,2-3 days,Shirts,Moderate
https://www.example.com/product/1167,BESTSELLER,StrideMax,₹1533,₹2061,25%,3.0,1448,2061,25%,1453,Cotton,1-2 weeks,Jackets,Slow
https://www.example.com/product/1409,Bestseller,NeoThreads,₹2588,₹3643,28%,2.3,2397,3643,28%,2530,Linen,1-2 weeks,Accessories,Fast
https://www.example.com/product/1005,Bestseller,Luxora,₹2807,₹5357,47%,3.2,2754,5357,47%,2772,Leather,4-5 days,Sportswear,Fast
https://www.example.com/product/1288,NEW,TruStep,₹535,₹989,45%,3.4,401,989,45%,467,Cotton,4-5 days,T-Shirts,Fast
https://www.ajio.com/nyrika-women-embroidery-straight-kurta-set/p/701328232_olive?,BESTSELLER,Nyrika,₹648,₹2699,76%,2.0,940,5535,29% Off,2516,Leather,5-7 days,Footwear,Moderate
https://www.ajio.com/u-s-polo-assn-men-checked-regular-fit-shirt/p/442400931_blue?,Bestseller,U.S. Polo Assn.,₹1727,₹2699,36%,2.0,3815,5658,81% Off,1096,Leather,1-2 weeks,Footwear,Slow
https://www.example.com/product/1305,Limited Edition,UrbanEdge,₹1698,₹3457,50%,2.0,1509,3457,50%,1668,Nylon,1-2 weeks,Handbags,Fast
https://www.example.com/product/1145,Limited Edition,UrbanEdge,₹3024,₹5411,44%,4.6,2905,5411,44%,2991,Silk,1-2 weeks,Shirts,Moderate
https://www.example.com/product/1056,TRENDING,Flexura,₹1291,₹3772,65%,1.7,1107,3772,65%,1225,Cotton,5-7 days,Ethnicwear,Fast
https://www.example.com/product/1326,BESTSELLER,StrideMax,₹4954,₹5227,5%,2.3,4768,5227,5%,4871,Polyester,1-2 weeks,Dresses,Moderate
https://www.example.com/product/1237,BESTSELLER,NeoThreads,₹2471,₹4322,42%,3.2,2289,4322,42%,2444,Polyester,4-5 days,Sportswear,Fast
https://www.example.com/product/1419,BESTSELLER,VogueLift,₹712,₹1018,30%,3.2,552,1018,30%,686,Cotton,2-3 days,Jackets,Fast
https://www.example.com/product/1389,NEW,UrbanEdge,₹2760,₹4552,39%,2.8,2697,4552,39%,2736,Synthetic,2-3 days,Jackets,Slow
https://www.example.com/product/1089,NEW,Flexura,₹1421,₹3392,58%,3.2,1320,3392,58%,1336,Denim,4-5 days,T-Shirts,Moderate
https://www.ajio.com/nike-run-defy-lace-up-sports-shoes/p/469755813_blue?,NEWSEASON,NIKE,₹3116,₹3995,22%,2.4,2407,4814,50% Off,1946,Leather,4-5 days,Footwear,Moderate
https://www.example.com/product/1332,NEW,TruStep,₹1544,₹3970,61%,5.0,1474,3970,61%,1452,Denim,1-2 weeks,Sportswear,Moderate
https://www.example.com/product/1379,TRENDING,Flexura,₹3336,₹6027,44%,3.0,3232,6027,44%,3270,Linen,2-3 days,Dresses,Fast
https://www.example.com/product/1464,BESTSELLER,Luxora,₹864,₹2935,70%,4.6,738,2935,70%,773,Leather,2-3 days,Jeans,Moderate
https://www.example.com/product/1356,Limited Edition,VogueLift,₹4679,₹6127,23%,2.7,4606,6127,23%,4631,Cotton,4-5 days,Shirts,Moderate
https://www.example.com/product/1190,Limited Edition,NeoThreads,₹3041,₹5920,48%,4.0,2922,5920,48%,3003,Leather,2-3 days,Shirts,Slow
https://www.example.com/product/1358,BESTSELLER,Flexura,₹3505,₹5721,38%,2.8,3348,5721,38%,3416,Linen,5-7 days,Handbags,Fast
https://www.example.com/product/1011,Bestseller,DenimCraft,₹2071,₹4997,58%,3.8,1997,4997,58%,2002,Linen,2-3 days,Handbags,Slow
https://www.example.com/product/1420,NEW,TruStep,₹3966,₹6208,36%,3.7,3833,6208,36%,3878,Leather,2-3 days,Jackets,Moderate
https://www.example.com/product/1175,NEW,VogueLift,₹3657,₹4663,21%,1.1,3519,4663,21%,3578,Denim,5-7 days,Footwear,Slow
https://www.example.com/product/1250,TRENDING,UrbanEdge,₹3893,₹5467,28%,4.8,3769,5467,28%,3855,Denim,1-2 weeks,Dresses,Moderate
https://www.example.com/product/1125,TRENDING,NeoThreads,₹3435,₹6262,45%,4.9,3364,6262,45%,3409,Linen,4-5 days,Jeans,Moderate
https://www.example.com/product/1377,NEW,Luxora,₹2221,₹5088,56%,4.0,2138,5088,56%,2191,Synthetic,4-5 days,Sportswear,Moderate
https://www.example.com/product/1042,NEW,TruStep,₹1498,₹2740,45%,3.9,1304,2740,45%,1448,Silk,1-2 weeks,Sportswear,Fast
https://www.example.com/product/1439,BESTSELLER,TruStep,₹4076,₹5514,26%,3.2,4008,5514,26%,4048,Cotton,4-5 days,Handbags,Fast
https://www.example.com/product/1220,Limited Edition,Luxora,₹4409,₹6051,27%,2.8,4347,6051,27%,4341,Synthetic,4-5 days,Jackets,Slow
https://www.example.com/product/1460,NEW,Flexura,₹4341,₹6986,37%,1.6,4220,6986,37%,4296,Nylon,4-5 days,Jeans,Moderate
https://www.example.com/product/1104,Bestseller,Flexura,₹473,₹1794,73%,4.5,366,1794,73%,414,Polyester,2-3 days,Ethnicwear,Slow
https://www.example.com/product/1062,TRENDING,UrbanEdge,₹549,₹3294,83%,4.3,429,3294,83%,457,Cotton,5-7 days,Sportswear,Slow
https://www.example.com/product/1041,Bestseller,NeoThreads,₹4858,₹5635,13%,1.3,4765,5635,13%,4817,Linen,1-2 weeks,Jeans,Moderate
https://www.example.com/product/1462,TRENDING,AeroStyle,₹3475,₹5619,38%,3.2,3356,5619,38%,3425,Linen,5-7 days,Dresses,Moderate
https://www.example.com/product/1243,NEW,StrideMax,₹2622,₹4254,38%,2.2,2452,4254,38%,2523,Cotton,1-2 weeks,Jeans,Slow
https://www.example.com/product/1217,BESTSELLER,StrideMax,₹4699,₹6220,24%,2.5,4521,6220,24%,4615,Leather,4-5 days,Shirts,Slow
https://www.example.com/product/1050,Limited Edition,NeoThreads,₹2164,₹4228,48%,4.5,2059,4228,48%,2084,Cotton,1-2 weeks,Accessories,Fast
https://www.example.com/product/1054,Limited Edition,DenimCraft,₹741,₹1730,57%,1.8,601,1730,57%,687,Leather,5-7 days,Ethnicwear,Fast
https://www.example.com/product/1433,NEW,Luxora,₹4046,₹4974,18%,1.8,3972,4974,18%,4019,Linen,2-3 days,Accessories,Slow
https://www.example.com/product/1292,NEW,StrideMax,₹1886,₹3044,38%,5.0,1780,3044,38%,1859,Linen,2-3 days,Footwear,Moderate
https://www.example.com/product/1454,TRENDING,DenimCraft,₹1519,₹4158,63%,4.3,1437,4158,63%,1440,Polyester,1-2 weeks,Sportswear,Slow
https://www.example.com/product/1103,BESTSELLER,UrbanEdge,₹3725,₹4560,18%,4.7,3528,4560,18%,3655,Silk,4-5 days,Handbags,Slow
https://www.example.com/product/1447,TRENDING,AeroStyle,₹3854,₹6385,39%,4.9,3663,6385,39%,3791,Denim,5-7 days,Jackets,Fast
https://www.example.com/product/1274,Bestseller,VogueLift,₹3578,₹6562,45%,4.6,3512,6562,45%,3532,Synthetic,5-7 days,Accessories,Slow
https://www.example.com/product/1096,NEW,Flexura,₹3253,₹4519,28%,3.7,3086,4519,28%,3184,Linen,5-7 days,Handbags,Slow
https://www.example.com/product/1314,TRENDING,DenimCraft,₹388,₹2770,85%,3.8,303,2770,85%,295,Linen,4-5 days,Ethnicwear,Fast
https://www.example.com/product/1400,BESTSELLER,DenimCraft,₹2337,₹4116,43%,3.7,2265,4116,43%,2280,Denim,2-3 days,Handbags,Slow
https://www.example.com/product/1098,NEW,UrbanEdge,₹3948,₹4395,10%,2.8,3863,4395,10%,3876,Synthetic,1-2 weeks,Jeans,Fast
https://www.example.com/product/1240,BESTSELLER,Luxora,₹2804,₹4550,38%,2.0,2732,4550,38%,2775,Cotton,5-7 days,Accessories,Slow
https://www.example.com/product/1404,BESTSELLER,TruStep,₹516,₹923,44%,1.9,419,923,44%,454,Silk,4-5 days,Jackets,Moderate
https://www.example.com/product/1058,Limited Edition,DenimCraft,₹1161,₹1388,16%,4.0,1036,1388,16%,1135,Cotton,1-2 weeks,Shirts,Fast
https://www.example.com/product/1047,Limited Edition,VogueLift,₹4088,₹5273,22%,1.6,4003,5273,22%,4053,Polyester,5-7 days,Sportswear,Moderate
https://www.example.com/product/1467,TRENDING,NeoThreads,₹2871,₹3771,23%,4.7,2693,3771,23%,2807,Synthetic,1-2 weeks,Handbags,Moderate
https://www.ajio.com/kuchipoo-boys-pack-of-5-graphic-print-relaxed-fit-round-neck-t-shirts/p/700232188_multi?,BESTSELLER,Kuchipoo,₹437,₹1899,77%,1.3,2928,3953,64% Off,3030,Cotton,5-7 days,Footwear,Slow
https://www.example.com/product/1219,Bestseller,NeoThreads,₹322,₹1859,82%,3.6,217,1859,82%,277,Synthetic,1-2 weeks,Footwear,Moderate
https://www.example.com/product/1355,BESTSELLER,TruStep,₹4626,₹5496,15%,4.6,4458,5496,15%,4564,Leather,1-2 weeks,Jackets,Moderate
https://www.ajio.com/eyebogler-logo-print-polo-t-shirt/p/466308495_olive?,Bestseller,EYEBOGLER,₹275,₹2499,89%,4.6,5840,7787,25% Off,5832,Silk,2-3 days,Clothing,Moderate
https://www.example.com/product/1293,NEW,Luxora,₹1715,₹4668,63%,1.8,1650,4668,63%,1641,Leather,2-3 days,Shirts,Slow
https://www.example.com/product/1303,NEW,DenimCraft,₹4386,₹7235,39%,2.7,4329,7235,39%,4352,Denim,4-5 days,Accessories,Slow
https://www.example.com/product/1028,TRENDING,Luxora,₹3344,₹6247,46%,3.2,3224,6247,46%,3259,Denim,2-3 days,Footwear,Slow
https://www.example.com/product/1199,Limited Edition,Flexura,₹391,₹2933,86%,1.3,201,2933,86%,344,Linen,4-5 days,Jeans,Slow
https://www.example.com/product/1252,NEW,ZyraWear,₹2687,₹4748,43%,1.8,2514,4748,43%,2640,Synthetic,1-2 weeks,Sportswear,Slow
https://www.example.com/product/1456,Bestseller,StrideMax,₹2062,₹4180,50%,4.6,1863,4180,50%,2011,Linen,4-5 days,Jackets,Fast
https://www.example.com/product/1192,TRENDING,VogueLift,₹3121,₹4604,32%,1.3,3000,4604,32%,3092,Polyester,2-3 days,Dresses,Slow
https://www.example.com/product/1418,TRENDING,Flexura,₹4814,₹7594,36%,2.8,4735,7594,36%,4756,Denim,2-3 days,Jeans,Moderate
https://www.example.com/product/1393,Bestseller,UrbanEdge,₹1497,₹4351,65%,2.3,1395,4351,65%,1414,Denim,2-3 days,T-Shirts,Moderate
https://www.example.com/product/1347,Bestseller,VogueLift,₹3360,₹5504,38%,3.2,3302,5504,38%,3296,Leather,2-3 days,Footwear,Moderate
https://www.ajio.com/ftx-pack-of-3-men-track-pants/p/701579634_multi?,Bestseller,FTX,₹499,₹1385,64%,3.4,1918,3688,48% Off,1551,Plastic,1-2 weeks,Clothing,Fast
https://www.example.com/product/1201,Bestseller,NeoThreads,₹1079,₹2201,50%,2.6,901,2201,50%,994,Denim,5-7 days,T-Shirts,Moderate
https://www.example.com/product/1152,Limited Edition,NeoThreads,₹4636,₹5160,10%,4.5,4486,5160,10%,4583,Silk,2-3 days,Jeans,Moderate
https://www.example.com/product/1406,NEW,TruStep,₹1143,₹3611,68%,4.6,1037,3611,68%,1071,Cotton,2-3 days,Jackets,Moderate
https://www.example.com/product/1126,TRENDING,StrideMax,₹3731,₹6441,42%,4.2,3641,6441,42%,3641,Denim,1-2 weeks,Accessories,Moderate
https://www.example.com/product/1014,TRENDING,TruStep,₹2725,₹5480,50%,2.6,2632,5480,50%,2657,Silk,1-2 weeks,Dresses,Moderate
https://www.example.com/product/1374,Limited Edition,TruStep,₹3174,₹4153,23%,2.3,3105,4153,23%,3082,Silk,5-7 days,Dresses,Slow
https://www.example.com/product/1247,NEW,AeroStyle,₹2001,₹3172,36%,4.2,1816,3172,36%,1940,Leather,2-3 days,Accessories,Slow
https://www.example.com/product/1249,TRENDING,DenimCraft,₹829,₹3073,73%,4.5,700,3073,73%,785,Leather,2-3 days,Ethnicwear,Moderate
https://www.example.com/product/1448,BESTSELLER,Flexura,₹3724,₹4820,22%,3.6,3560,4820,22%,3686,Polyester,2-3 days,Handbags,Slow
https://www.example.com/product/1197,NEW,StrideMax,₹3480,₹5160,32%,2.2,3283,5160,32%,3428,Leather,1-2 weeks,Footwear,Fast
https://www.example.com/product/1284,TRENDING,StrideMax,₹2715,₹5544,51%,3.4,2558,5544,51%,2663,Linen,2-3 days,Ethnicwear,Slow
https://www.example.com/product/1387,NEW,Flexura,₹4014,₹5754,30%,3.3,3839,5754,30%,3948,Synthetic,2-3 days,Ethnicwear,Slow
https://www.example.com/product/1380,Limited Edition,AeroStyle,₹3636,₹5195,30%,2.9,3554,5195,30%,3587,Silk,5-7 days,Accessories,Moderate
https://www.example.com/product/1295,NEW,NeoThreads,₹2498,₹5354,53%,3.2,2302,5354,53%,2413,Polyester,1-2 weeks,Sportswear,Fast
https://www.ajio.com/gulmohar-jaipur-jaipur-cotton-calf-length-anarkali-kurta-set/p/701585855_mustard?,Bestseller,GULMOHAR JAIPUR,₹1397,₹3599,61%,2.2,1222,5092,76% Off,819,Plastic,2-3 days,Clothing,Fast
https://www.example.com/product/1297,NEW,TruStep,₹1115,₹3289,66%,2.9,1047,3289,66%,1095,Denim,5-7 days,Shirts,Fast
https://www.example.com/product/1018,BESTSELLER,VogueLift,₹1105,₹2626,57%,1.4,972,2626,57%,1019,Nylon,1-2 weeks,Sportswear,Slow
https://www.example.com/product/1003,BESTSELLER,StrideMax,₹1500,₹1700,11%,2.6,1429,1700,11%,1437,Linen,2-3 days,Jackets,Moderate
https://www.example.com/product/1085,Limited Edition,UrbanEdge,₹696,₹1360,48%,2.1,640,1360,48%,658,Synthetic,1-2 weeks,Jeans,Moderate
https://www.example.com/product/1306,NEW,ZyraWear,₹3679,₹6175,40%,5.0,3555,6175,40%,3644,Polyester,2-3 days,Footwear,Fast
https://www.example.com/product/1246,Bestseller,NeoThreads,₹4941,₹7859,37%,3.4,4803,7859,37%,4906,Denim,1-2 weeks,Sportswear,Moderate
https://www.example.com/product/1376,Bestseller,Luxora,₹2528,₹2815,10%,4.0,2409,2815,10%,2487,Linen,4-5 days,Jackets,Slow
https://www.example.com/product/1029,TRENDING,StrideMax,₹4387,₹4765,7%,3.2,4287,4765,7%,4321,Cotton,2-3 days,Shirts,Fast
https://www.example.com/product/1227,Bestseller,UrbanEdge,₹4209,₹4697,10%,3.5,4138,4697,10%,4166,Linen,2-3 days,Handbags,Fast
https://www.ajio.com/the-indian-garage-co-striped-slim-fit-shirt-with-patch-pocket/p/469194738_blue?,Bestseller,The Indian Garage Co,₹490,₹1749,72%,1.0,3236,7704,58% Off,2955,Silk,5-7 days,Footwear,Slow
https://www.ajio.com/red-tape-men-chelsea-boots-with-genuine-leather-upper/p/701895104_brown?,BESTSELLER,RED TAPE,₹1632,₹9599,83%,2.9,3243,5316,39% Off,2932,Cotton,1-2 weeks,Clothing,Slow
https://www.example.com/product/1144,NEW,VogueLift,₹1670,₹3804,56%,2.9,1478,3804,56%,1602,Silk,1-2 weeks,Accessories,Fast
https://www.example.com/product/1038,Limited Edition,Luxora,₹4922,₹5812,15%,1.9,4814,5812,15%,4896,Denim,2-3 days,Jeans,Moderate
https://www.example.com/product/1375,NEW,AeroStyle,₹886,₹2546,65%,3.6,716,2546,65%,793,Synthetic,5-7 days,Shirts,Fast
https://www.example.com/product/1384,BESTSELLER,Flexura,₹2842,₹5638,49%,3.6,2655,5638,49%,2776,Cotton,2-3 days,Jeans,Slow
https://www.example.com/product/1066,TRENDING,StrideMax,₹1183,₹3855,69%,3.1,1084,3855,69%,1111,Nylon,5-7 days,Jeans,Slow
https://www.example.com/product/1120,BESTSELLER,VogueLift,₹4033,₹6718,39%,4.0,3870,6718,39%,3954,Nylon,4-5 days,Jeans,Moderate
https://www.example.com/product/1441,Limited Edition,AeroStyle,₹4936,₹6803,27%,3.1,4753,6803,27%,4897,Leather,2-3 days,Jeans,Moderate
https://www.ajio.com/the-bear-house-men-checked-slim-fit-shirt/p/464176063_blue?,BESTSELLER,THE BEAR HOUSE,₹798,₹2495,68%,3.8,575,787,27% Off,331,Silk,5-7 days,Footwear,Slow
https://www.example.com/product/1206,BESTSELLER,ZyraWear,₹461,₹2341,80%,1.9,331,2341,80%,394,Cotton,2-3 days,Footwear,Slow
https://www.example.com/product/1343,BESTSELLER,NeoThreads,₹4011,₹5224,23%,3.3,3858,5224,23%,3943,Leather,4-5 days,Ethnicwear,Fast
https://www.example.com/product/1165,NEW,StrideMax,₹4702,₹6670,29%,4.3,4552,6670,29%,4664,Denim,5-7 days,Footwear,Moderate
https://www.ajio.com/u-s-polo-assn-men-checked-tailored-fit-shirt-with-patch-pocket/p/442400884_white?,Bestseller,U.S. Polo Assn.,₹1913,₹2899,34%,3.9,4201,4037,6% Off,4551,Synthetic,5-7 days,Footwear,Moderate
https://www.example.com/product/1088,Bestseller,ZyraWear,₹2696,₹3124,13%,1.1,2561,3124,13%,2666,Leather,5-7 days,Jackets,Slow
https://www.example.com/product/1017,Bestseller,NeoThreads,₹839,₹2937,71%,1.9,752,2937,71%,767,Synthetic,2-3 days,Ethnicwear,Slow
https://www.ajio.com/the-indian-garage-co-men-mid-wash-slim-fit-jeans/p/460619249_black?,BESTSELLER,The Indian Garage Co,₹680,₹1999,66%,2.7,4695,5790,56% Off,3241,Cotton,4-5 days,Footwear,Fast
https://www.example.com/product/1437,TRENDING,VogueLift,₹4831,₹5208,7%,4.3,4687,5208,7%,4787,Synthetic,1-2 weeks,Accessories,Slow
https://www.example.com/product/1327,TRENDING,VogueLift,₹2778,₹4946,43%,3.3,2685,4946,43%,2750,Denim,5-7 days,Sportswear,Slow
https://www.ajio.com/u-s-polo-assn-men-brand-embossed-slim-fit-polo-t-shirt/p/442401081_white?,Bestseller,U.S. Polo Assn.,₹1624,₹2499,35%,2.5,2428,651,9% Off,1126,Synthetic,5-7 days,Footwear,Fast
https://www.example.com/product/1370,Bestseller,UrbanEdge,₹4712,₹5034,6%,4.5,4519,5034,6%,4639,Silk,1-2 weeks,Accessories,Slow
https://www.example.com/product/1360,Bestseller,AeroStyle,₹3019,₹3409,11%,1.8,2950,3409,11%,2997,Synthetic,4-5 days,Jackets,Slow
https://www.example.com/product/1032,Bestseller,Flexura,₹4267,₹4963,14%,2.2,4106,4963,14%,4205,Cotton,4-5 days,T-Shirts,Fast
https://www.example.com/product/1082,Bestseller,ZyraWear,₹1257,₹2315,45%,1.2,1190,2315,45%,1180,Leather,5-7 days,Jeans,Fast
https://www.example.com/product/1289,Limited Edition,AeroStyle,₹337,₹3106,89%,1.7,177,3106,89%,260,Linen,2-3 days,Accessories,Fast
https://www.example.com/product/1234,Bestseller,DenimCraft,₹1469,₹1949,24%,4.5,1298,1949,24%,1387,Synthetic,5-7 days,Accessories,Fast
https://www.example.com/product/1001,TRENDING,ZyraWear,₹4830,₹7475,35%,2.9,4780,7475,35%,4786,Denim,1-2 weeks,Accessories,Fast
https://www.example.com/product/1266,Limited Edition,StrideMax,₹1247,₹3083,59%,4.4,1101,3083,59%,1176,Nylon,2-3 days,Jackets,Fast
https://www.example.com/product/1157,NEW,VogueLift,₹1269,₹3638,65%,1.4,1090,3638,65%,1179,Linen,2-3 days,Accessories,Fast
